1,101,1024
7,102,1003
8,102,1008
9,102,1009
10,102,1013
11,102,1019
12,102,1038
14,103,1011
15,103,1014
16,103,1020
17,103,1052
18,103,1001
19,103,1015
20,103,1028
21,103,1039
22,103,1058
23,103,1060
24,103,1061
25,104,1010
26,104,1025
27,104,1030
28,104,1041
30,104,1059
31,104,1002
32,104,1022
33,104,1026
34,104,1032
36,104,1040
37,104,1048
38,104,1056
39,105,1012
40,105,1027
43,105,1005
44,105,1007
45,105,1016
46,105,1018
47,105,1023
49,105,1035
50,105,1037
51,105,1046
52,105,1050
54,106,1004
55,106,1017
57,106,1006
58,106,1021
60,106,1045
62,201,1010
63,201,1011
64,201,1012
65,201,1014
66,201,1017
67,201,1020
68,201,1025
69,201,1027
71,201,1030
74,201,1041
79,201,1059
80,202,1001
81,202,1002
82,202,1003
83,202,1005
84,202,1006
85,202,1007
86,202,1008
87,202,1009
88,202,1013
89,202,1015
90,202,1016
91,202,1018
92,202,1019
93,202,1021
94,202,1022
95,202,1023
96,202,1024
97,202,1026
98,202,1028
99,202,1032
101,202,1035
103,202,1037
104,202,1038
105,202,1039
106,202,1040
109,202,1045
110,202,1046
111,202,1048
112,202,1050
117,202,1056
118,202,1058
119,202,1060
120,202,1061
121,203,1004
122,202,1052
123,301,1001
124,301,1002
125,302,1006
126,302,1021
127,303,1008
128,303,1009
129,304,1010
130,304,1059
131,305,1011
132,305,1014
133,306,1015
134,306,1023
135,307,1018
136,307,1022
137,308,1024
138,308,1003
139,309,1025
141,310,1026
143,311,1027
145,312,1028
147,313,1030
149,314,1032
150,314,1019
152,315,1038
153,316,1035
154,316,1048
156,317,1058
157,318,1037
158,318,1046
159,319,1039
161,320,1040
163,321,1045
164,321,1050
165,322,1052
166,322,1061
168,323,1060
169,401,1001
170,401,1011
171,401,1014
172,401,1020
173,401,1061
174,402,1002
175,402,1041
176,402,1010
177,402,1056
178,403,1003
179,403,1008
180,403,1009
181,403,1013
182,404,1023
183,404,1050
184,404,1035
185,501,1017
186,501,1018
187,501,1016
188,502,1001
189,502,1011
190,502,1014
191,502,1020
192,503,1013
193,503,1027
194,503,1059
195,504,1061
196,504,1013
197,504,1022
198,505,1012
199,505,1005
200,506,1006
201,506,1021
202,506,1045
204,507,1023
205,507,1050
206,507,1035
207,2001,1002
208,2001,1001
209,2001,1005
210,2001,1025
212,2001,1032
213,2002,1018
214,2002,1035
215,2003,1041
217,2101,1007
218,2101,1009
219,2101,1046
220,2102,1001
221,2102,1035
222,2103,1011
223,2103,1024
224,2104,1015
225,2104,1024
227,2105,1040
228,2106,1018
229,2106,1009
230,2106,1041
231,2107,1032
233,2201,1017
234,2201,1003
235,2301,1001
236,2301,1004
237,2302,1004
238,2302,1035
239,2303,1013
240,2303,1007
241,2601,1001
242,2601,1002
243,2601,1003
244,2601,1004
245,2601,1005
246,2601,1006
247,2601,1007
248,2601,1010
249,2601,1011
250,2601,1013
251,2601,1014
252,2601,1015
253,2601,1016
254,2601,1017
255,2601,1019
256,2601,1020
257,2601,1021
258,2601,1023
259,2601,1024
260,2601,1025
261,2601,1026
262,2601,1027
263,2601,1028
264,2601,1030
266,2601,1032
269,2601,1035
271,2601,1037
272,2601,1040
273,2601,1041
275,2601,1045
276,2601,1046
278,2601,1048
280,2601,1050
284,2601,1056
286,2601,1058
287,2601,1060
288,2601,1061
289,2602,1008
290,2602,1009
291,2602,1012
292,2602,1018
293,2602,1022
295,2602,1038
296,2602,1039
300,2602,1052
301,2602,1059
302,7000,1002
303,7000,1014
304,7001,1002
305,7001,1018
306,7002,1002
307,7002,1056
308,7003,1001
309,7003,1011
310,7004,1001
311,7004,1014
312,7005,1001
313,7005,1015
314,7006,1001
315,7006,1020
316,7007,1001
317,7007,1061
318,7008,1003
319,7008,1013
320,7009,1006
321,7009,1021
322,7010,1006
323,7010,1027
324,7011,1006
325,7011,1045
326,7012,1008
327,7012,1009
328,7013,1011
329,7013,1002
330,7014,1012
332,7015,1012
333,7015,1002
334,7016,1013
335,7016,1007
336,7017,1021
337,7017,1045
338,7018,1023
339,7018,1035
340,7019,1023
341,7019,1050
342,7020,1027
344,7021,1035
345,7021,1050
346,7022,1060
347,7022,1003
