1001,Special Week,1
1002,Silence Suzuka,1
1003,Tokai Teio,1
1004,Maruzensky,1
1005,Fuji Kiseki,1
1006,Oguri Cap,1
1007,Gold Ship,1
1008,Vodka,1
1009,Daiwa Scarlet,1
1010,Taiki Shuttle,1
1011,Grass Wonder,1
1012,Hishi Amazon,1
1013,Mejiro McQueen,1
1014,El Condor Pasa,1
1015,T.M. Opera O,1
1016,Narita Brian,1
1017,Symboli Rudolf,1
1018,Air Groove,1
1019,Agnes Digital,1
1020,Seiun Sky,1
1021,Tamamo Cross,0
1022,Fine Motion,1
1023,Biwa Hayahide,1
1024,Mayano Top Gun,1
1025,Manhattan Cafe,1
1026,Mihono Bourbon,1
1027,Mejiro Ryan,1
1028,Hishi Akebono,1
1029,Yukino Bijin,0
1030,Rice Shower,1
1031,Ines Fujin,0
1032,Agnes Tachyon,1
1033,Admire Vega,0
1034,Inari One,0
1035,Winning Ticket,1
1036,Air Shakur,0
1037,Eishin Flash,1
1038,Curren Chan,1
1039,Kawakami Princess,1
1040,Gold City,1
1041,Sakura Bakushin O,1
1042,Seeking the Pearl,0
1043,Shinko Windy,0
1044,Sweep Tosho,1
1045,Super Creek,1
1046,Smart Falcon,1
1047,Zenno Rob Roy,0
1048,Tosen Jordan,1
1049,Nakayama Festa,0
1050,Narita Taishin,1
1051,Nishino Flower,1
1052,Haru Urara,1
1053,Bamboo Memory,0
1054,Biko Pegasus,0
1055,Marvelous Sunday,0
1056,Matikanefukukitaru,1
1057,Mr. C.B.,0
1058,Meisho Doto,1
1059,Mejiro Dober,1
1060,Nice Nature,1
1061,King Halo,1
1062,Matikanetannhauser,0
1063,Ikuno Dictus,0
1064,Mejiro Palmer,0
1065,Daitaku Helios,0
1066,Twin Turbo,0
1067,Satono Diamond,0
1068,Kitasan Black,0
1069,Sakura Chiyono O,0
1070,Sirius Symboli,0
1071,Mejiro Ardan,0
1072,Yaeno Muteki,0
1073,Tsurumaru Tsuyoshi,0
1074,Mejiro Bright,0
1077,Narita Top Road,0
1078,Yamanin Zephyr,0
